,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
45,ut,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.10176107458922,0.00052288527074915,11810,state,safegraph
46,va,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.073978969057708,0.00024331099793537,37109,state,safegraph
47,vt,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.081231903430409,0.00092275379165586,3648,state,safegraph
48,wa,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.076245549824951,0.000264475127313,33375,state,safegraph
49,wi,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.081107815653114,0.00028785608063614,31322,state,safegraph
50,wv,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.082603730292818,0.00050134112672006,11122,state,safegraph
51,wy,part_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.11252483609764,0.0011794808209197,2870,state,safegraph
0,ak,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.081665225737604,0.00083676602379481,3616,state,safegraph
1,al,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.11131001943934,0.00034882678634624,24037,state,safegraph
2,ar,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.110489577549,0.00047851199282551,14979,state,safegraph
3,az,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.074982912996275,0.00024539503847268,29100,state,safegraph
4,ca,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.078351053038348,0.00012407623006729,161820,state,safegraph
5,co,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.089905802781459,0.00032358294240426,24636,state,safegraph
6,ct,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.076266058822067,0.0003533989671891,18049,state,safegraph
7,dc,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.05611512421572,0.00068739194604431,3128,state,safegraph
8,de,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.06927382885737,0.00065096728806291,3990,state,safegraph
9,fl,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.079544516063807,0.00015745508479891,79564,state,safegraph
10,ga,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.089366110034692,0.00027344167456437,38633,state,safegraph
11,hi,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.078509947928333,0.00063731903337398,5867,state,safegraph
12,ia,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.10299327433847,0.00042866116643609,18388,state,safegraph
13,id,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.092984992552625,0.00062844002976693,6718,state,safegraph
14,il,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.076271815679866,0.00019306099320709,67719,state,safegraph
15,in,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.090298127277348,0.00028825867522909,33654,state,safegraph
16,ks,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.098062501978749,0.00044797463302169,16407,state,safegraph
17,ky,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.086343981066282,0.00033323822780688,22943,state,safegraph
18,la,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.10056412693759,0.00036468535162502,24110,state,safegraph
19,ma,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.072191881166692,0.00025908853368169,34683,state,safegraph
20,md,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.064374168666671,0.00025354885455892,27347,state,safegraph
21,me,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.080643515453573,0.00059674573934895,7532,state,safegraph
22,mi,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.079556501517427,0.00020850008191048,56728,state,safegraph
23,mn,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.079918230258036,0.00029552045220739,28732,state,safegraph
24,mo,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.09492761237769,0.00030541339745131,31508,state,safegraph
25,ms,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.1177496360803,0.00052267609362759,15092,state,safegraph
26,mt,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.10412591836653,0.00083641816449691,5872,state,safegraph
27,nc,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.083602598668961,0.00022473711108569,42844,state,safegraph
28,nd,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.097566866989032,0.00093780920786853,4004,state,safegraph
29,ne,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.10982246277735,0.00058693877547026,11417,state,safegraph
30,nh,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.0797096762012,0.00059284288098917,6447,state,safegraph
31,nj,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.07318051587971,0.00021808403053983,44041,state,safegraph
32,nm,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.084946219080576,0.0005256698257069,10094,state,safegraph
33,nv,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.076097353595002,0.00040138363057667,12744,state,safegraph
34,ny,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.072172093281106,0.00015015363160408,106230,state,safegraph
35,oh,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.084138528548729,0.00019512630313141,64494,state,safegraph
36,ok,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.10565373369819,0.00039112132350519,20719,state,safegraph
37,or,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.077284000335459,0.0003430127182929,18380,state,safegraph
38,pa,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.072802208461648,0.000174446325003,68050,state,safegraph
39,pr,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.079298516438266,0.00042334776183201,17004,state,safegraph
40,ri,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.075404283428945,0.00063530782533766,5678,state,safegraph
41,sc,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.091843182741387,0.00033845710604902,21342,state,safegraph
42,sd,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.10483154305476,0.00088293849557485,4575,state,safegraph
43,tn,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.094925182536211,0.00029887190898871,28799,state,safegraph
44,tx,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.091098826941314,0.000157259646065,110348,state,safegraph
45,ut,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.10110703623114,0.00051896916290829,11811,state,safegraph
46,va,part_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.073723803887404,0.00024119149035978,37111,state,safegraph
