,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
5,co,restaurants_visit_prop,2020-10-02,2020-11-30,59,306.53375709774,,,state,safegraph
6,ct,restaurants_visit_prop,2020-10-02,2020-11-30,59,126.79294364285,,,state,safegraph
7,dc,restaurants_visit_prop,2020-10-02,2020-11-30,59,62.752739316612,,,state,safegraph
8,de,restaurants_visit_prop,2020-10-02,2020-11-30,59,297.00190397085,,,state,safegraph
9,fl,restaurants_visit_prop,2020-10-02,2020-11-30,59,418.31624006628,,,state,safegraph
10,ga,restaurants_visit_prop,2020-10-02,2020-11-30,59,613.5247854291,,,state,safegraph
11,hi,restaurants_visit_prop,2020-10-02,2020-11-30,59,98.090654013733,,,state,safegraph
12,ia,restaurants_visit_prop,2020-10-02,2020-11-30,59,586.29166953287,,,state,safegraph
13,id,restaurants_visit_prop,2020-10-02,2020-11-30,59,313.14925492237,,,state,safegraph
14,il,restaurants_visit_prop,2020-10-02,2020-11-30,59,323.18554236843,,,state,safegraph
15,in,restaurants_visit_prop,2020-10-02,2020-11-30,59,527.95039135057,,,state,safegraph
16,ks,restaurants_visit_prop,2020-10-02,2020-11-30,59,526.05944634275,,,state,safegraph
17,ky,restaurants_visit_prop,2020-10-02,2020-11-30,59,626.34921367996,,,state,safegraph
18,la,restaurants_visit_prop,2020-10-02,2020-11-30,59,539.49052749258,,,state,safegraph
19,ma,restaurants_visit_prop,2020-10-02,2020-11-30,59,139.40362998789,,,state,safegraph
20,md,restaurants_visit_prop,2020-10-02,2020-11-30,59,228.96834653308,,,state,safegraph
21,me,restaurants_visit_prop,2020-10-02,2020-11-30,59,248.08929772338,,,state,safegraph
22,mi,restaurants_visit_prop,2020-10-02,2020-11-30,59,320.08131686478,,,state,safegraph
23,mn,restaurants_visit_prop,2020-10-02,2020-11-30,59,300.96227163939,,,state,safegraph
24,mo,restaurants_visit_prop,2020-10-02,2020-11-30,59,594.9480604932,,,state,safegraph
25,ms,restaurants_visit_prop,2020-10-02,2020-11-30,59,716.077265194,,,state,safegraph
26,mt,restaurants_visit_prop,2020-10-02,2020-11-30,59,228.93592023269,,,state,safegraph
27,nc,restaurants_visit_prop,2020-10-02,2020-11-30,59,514.82016243154,,,state,safegraph
28,nd,restaurants_visit_prop,2020-10-02,2020-11-30,59,484.12440384411,,,state,safegraph
29,ne,restaurants_visit_prop,2020-10-02,2020-11-30,59,548.76739475453,,,state,safegraph
30,nh,restaurants_visit_prop,2020-10-02,2020-11-30,59,254.0151148219,,,state,safegraph
31,nj,restaurants_visit_prop,2020-10-02,2020-11-30,59,193.01390953139,,,state,safegraph
32,nm,restaurants_visit_prop,2020-10-02,2020-11-30,59,248.34367781454,,,state,safegraph
33,nv,restaurants_visit_prop,2020-10-02,2020-11-30,59,268.59467499095,,,state,safegraph
34,ny,restaurants_visit_prop,2020-10-02,2020-11-30,59,143.5597900853,,,state,safegraph
35,oh,restaurants_visit_prop,2020-10-02,2020-11-30,59,472.56195226086,,,state,safegraph
36,ok,restaurants_visit_prop,2020-10-02,2020-11-30,59,744.68188709012,,,state,safegraph
37,or,restaurants_visit_prop,2020-10-02,2020-11-30,59,148.02627649234,,,state,safegraph
38,pa,restaurants_visit_prop,2020-10-02,2020-11-30,59,262.01347857662,,,state,safegraph
39,pr,restaurants_visit_prop,2020-10-02,2020-11-30,59,53.327607301163,,,state,safegraph
40,ri,restaurants_visit_prop,2020-10-02,2020-11-30,59,176.15091666276,,,state,safegraph
41,sc,restaurants_visit_prop,2020-10-02,2020-11-30,59,632.2431527792,,,state,safegraph
42,sd,restaurants_visit_prop,2020-10-02,2020-11-30,59,476.17348877472,,,state,safegraph
43,tn,restaurants_visit_prop,2020-10-02,2020-11-30,59,736.85958784962,,,state,safegraph
44,tx,restaurants_visit_prop,2020-10-02,2020-11-30,59,541.57543556521,,,state,safegraph
45,ut,restaurants_visit_prop,2020-10-02,2020-11-30,59,244.27256205594,,,state,safegraph
46,va,restaurants_visit_prop,2020-10-02,2020-11-30,59,338.79983562112,,,state,safegraph
47,vt,restaurants_visit_prop,2020-10-02,2020-11-30,59,231.65802998011,,,state,safegraph
48,wa,restaurants_visit_prop,2020-10-02,2020-11-30,59,125.71838357789,,,state,safegraph
49,wi,restaurants_visit_prop,2020-10-02,2020-11-30,59,338.31530750165,,,state,safegraph
50,wv,restaurants_visit_prop,2020-10-02,2020-11-30,59,538.03912141328,,,state,safegraph
51,wy,restaurants_visit_prop,2020-10-02,2020-11-30,59,283.2245106925,,,state,safegraph
0,ak,restaurants_visit_prop,2020-10-03,2020-11-30,58,139.47116837108,,,state,safegraph
1,al,restaurants_visit_prop,2020-10-03,2020-11-30,58,1101.7830511115,,,state,safegraph
2,ar,restaurants_visit_prop,2020-10-03,2020-11-30,58,756.38993012124,,,state,safegraph
3,az,restaurants_visit_prop,2020-10-03,2020-11-30,58,357.64680452289,,,state,safegraph
4,ca,restaurants_visit_prop,2020-10-03,2020-11-30,58,154.68255065483,,,state,safegraph
5,co,restaurants_visit_prop,2020-10-03,2020-11-30,58,339.52181095158,,,state,safegraph
6,ct,restaurants_visit_prop,2020-10-03,2020-11-30,58,150.47896670763,,,state,safegraph
7,dc,restaurants_visit_prop,2020-10-03,2020-11-30,58,58.072874011644,,,state,safegraph
8,de,restaurants_visit_prop,2020-10-03,2020-11-30,58,382.40274686547,,,state,safegraph
9,fl,restaurants_visit_prop,2020-10-03,2020-11-30,58,457.55026906659,,,state,safegraph
10,ga,restaurants_visit_prop,2020-10-03,2020-11-30,58,652.3153395692,,,state,safegraph
11,hi,restaurants_visit_prop,2020-10-03,2020-11-30,58,124.2205111083,,,state,safegraph
12,ia,restaurants_visit_prop,2020-10-03,2020-11-30,58,724.6133534382,,,state,safegraph
13,id,restaurants_visit_prop,2020-10-03,2020-11-30,58,328.33315371763,,,state,safegraph
14,il,restaurants_visit_prop,2020-10-03,2020-11-30,58,352.45450902911,,,state,safegraph
15,in,restaurants_visit_prop,2020-10-03,2020-11-30,58,586.13701519096,,,state,safegraph
16,ks,restaurants_visit_prop,2020-10-03,2020-11-30,58,651.37103227383,,,state,safegraph
17,ky,restaurants_visit_prop,2020-10-03,2020-11-30,58,666.00440993507,,,state,safegraph
18,la,restaurants_visit_prop,2020-10-03,2020-11-30,58,566.23497747876,,,state,safegraph
19,ma,restaurants_visit_prop,2020-10-03,2020-11-30,58,160.92920559026,,,state,safegraph
20,md,restaurants_visit_prop,2020-10-03,2020-11-30,58,269.59813290581,,,state,safegraph
21,me,restaurants_visit_prop,2020-10-03,2020-11-30,58,290.63949704222,,,state,safegraph
22,mi,restaurants_visit_prop,2020-10-03,2020-11-30,58,348.79546942303,,,state,safegraph
23,mn,restaurants_visit_prop,2020-10-03,2020-11-30,58,328.57375090703,,,state,safegraph
24,mo,restaurants_visit_prop,2020-10-03,2020-11-30,58,710.56395456659,,,state,safegraph
25,ms,restaurants_visit_prop,2020-10-03,2020-11-30,58,826.3325194926,,,state,safegraph
26,mt,restaurants_visit_prop,2020-10-03,2020-11-30,58,219.52260201557,,,state,safegraph
27,nc,restaurants_visit_prop,2020-10-03,2020-11-30,58,572.79002783852,,,state,safegraph
28,nd,restaurants_visit_prop,2020-10-03,2020-11-30,58,541.33610903229,,,state,safegraph
29,ne,restaurants_visit_prop,2020-10-03,2020-11-30,58,607.32505926971,,,state,safegraph
30,nh,restaurants_visit_prop,2020-10-03,2020-11-30,58,288.61160443143,,,state,safegraph
31,nj,restaurants_visit_prop,2020-10-03,2020-11-30,58,249.37945532983,,,state,safegraph
32,nm,restaurants_visit_prop,2020-10-03,2020-11-30,58,253.82189999665,,,state,safegraph
33,nv,restaurants_visit_prop,2020-10-03,2020-11-30,58,303.12237443504,,,state,safegraph
34,ny,restaurants_visit_prop,2020-10-03,2020-11-30,58,162.74950191028,,,state,safegraph
35,oh,restaurants_visit_prop,2020-10-03,2020-11-30,58,520.83520551656,,,state,safegraph
36,ok,restaurants_visit_prop,2020-10-03,2020-11-30,58,811.30144755973,,,state,safegraph
37,or,restaurants_visit_prop,2020-10-03,2020-11-30,58,162.87245267056,,,state,safegraph
38,pa,restaurants_visit_prop,2020-10-03,2020-11-30,58,309.5944132088,,,state,safegraph
39,pr,restaurants_visit_prop,2020-10-03,2020-11-30,58,35.040485328419,,,state,safegraph
40,ri,restaurants_visit_prop,2020-10-03,2020-11-30,58,201.0114836955,,,state,safegraph
41,sc,restaurants_visit_prop,2020-10-03,2020-11-30,58,705.10212486615,,,state,safegraph
42,sd,restaurants_visit_prop,2020-10-03,2020-11-30,58,571.37875026664,,,state,safegraph
43,tn,restaurants_visit_prop,2020-10-03,2020-11-30,58,791.47264233181,,,state,safegraph
44,tx,restaurants_visit_prop,2020-10-03,2020-11-30,58,591.68539074579,,,state,safegraph
45,ut,restaurants_visit_prop,2020-10-03,2020-11-30,58,246.43705229487,,,state,safegraph
46,va,restaurants_visit_prop,2020-10-03,2020-11-30,58,395.19754252245,,,state,safegraph
47,vt,restaurants_visit_prop,2020-10-03,2020-11-30,58,255.18022994732,,,state,safegraph
48,wa,restaurants_visit_prop,2020-10-03,2020-11-30,58,136.14161715193,,,state,safegraph
49,wi,restaurants_visit_prop,2020-10-03,2020-11-30,58,366.41185268053,,,state,safegraph
50,wv,restaurants_visit_prop,2020-10-03,2020-11-30,58,599.76795662276,,,state,safegraph
51,wy,restaurants_visit_prop,2020-10-03,2020-11-30,58,300.07556098661,,,state,safegraph
0,ak,restaurants_visit_prop,2020-10-04,2020-11-30,57,100.56823119933,,,state,safegraph
1,al,restaurants_visit_prop,2020-10-04,2020-11-30,57,921.13323633454,,,state,safegraph
2,ar,restaurants_visit_prop,2020-10-04,2020-11-30,57,615.48339107007,,,state,safegraph
3,az,restaurants_visit_prop,2020-10-04,2020-11-30,57,273.06419953976,,,state,safegraph
4,ca,restaurants_visit_prop,2020-10-04,2020-11-30,57,129.119483662,,,state,safegraph
5,co,restaurants_visit_prop,2020-10-04,2020-11-30,57,254.69216117137,,,state,safegraph
6,ct,restaurants_visit_prop,2020-10-04,2020-11-30,57,106.58710379153,,,state,safegraph
7,dc,restaurants_visit_prop,2020-10-04,2020-11-30,57,39.140691641548,,,state,safegraph
8,de,restaurants_visit_prop,2020-10-04,2020-11-30,57,237.63077004068,,,state,safegraph
9,fl,restaurants_visit_prop,2020-10-04,2020-11-30,57,344.83073708885,,,state,safegraph
10,ga,restaurants_visit_prop,2020-10-04,2020-11-30,57,536.15938238044,,,state,safegraph
11,hi,restaurants_visit_prop,2020-10-04,2020-11-30,57,93.631987922199,,,state,safegraph
12,ia,restaurants_visit_prop,2020-10-04,2020-11-30,57,522.63268615206,,,state,safegraph
13,id,restaurants_visit_prop,2020-10-04,2020-11-30,57,227.76033266461,,,state,safegraph
14,il,restaurants_visit_prop,2020-10-04,2020-11-30,57,254.10282271992,,,state,safegraph
15,in,restaurants_visit_prop,2020-10-04,2020-11-30,57,422.32996238248,,,state,safegraph
16,ks,restaurants_visit_prop,2020-10-04,2020-11-30,57,455.3583570042,,,state,safegraph
17,ky,restaurants_visit_prop,2020-10-04,2020-11-30,57,527.89676912147,,,state,safegraph
18,la,restaurants_visit_prop,2020-10-04,2020-11-30,57,436.49660058276,,,state,safegraph
19,ma,restaurants_visit_prop,2020-10-04,2020-11-30,57,110.93950070267,,,state,safegraph
20,md,restaurants_visit_prop,2020-10-04,2020-11-30,57,187.40056995247,,,state,safegraph
21,me,restaurants_visit_prop,2020-10-04,2020-11-30,57,207.70266786144,,,state,safegraph
22,mi,restaurants_visit_prop,2020-10-04,2020-11-30,57,251.34618321706,,,state,safegraph
23,mn,restaurants_visit_prop,2020-10-04,2020-11-30,57,236.40806844103,,,state,safegraph
24,mo,restaurants_visit_prop,2020-10-04,2020-11-30,57,524.98405867424,,,state,safegraph
25,ms,restaurants_visit_prop,2020-10-04,2020-11-30,57,651.10154636852,,,state,safegraph
26,mt,restaurants_visit_prop,2020-10-04,2020-11-30,57,155.85370753583,,,state,safegraph
27,nc,restaurants_visit_prop,2020-10-04,2020-11-30,57,461.33626741298,,,state,safegraph
28,nd,restaurants_visit_prop,2020-10-04,2020-11-30,57,359.64705240675,,,state,safegraph
29,ne,restaurants_visit_prop,2020-10-04,2020-11-30,57,459.94436410977,,,state,safegraph
30,nh,restaurants_visit_prop,2020-10-04,2020-11-30,57,230.95078841556,,,state,safegraph
31,nj,restaurants_visit_prop,2020-10-04,2020-11-30,57,173.9714954103,,,state,safegraph
32,nm,restaurants_visit_prop,2020-10-04,2020-11-30,57,196.83367386886,,,state,safegraph
33,nv,restaurants_visit_prop,2020-10-04,2020-11-30,57,239.56253682647,,,state,safegraph
34,ny,restaurants_visit_prop,2020-10-04,2020-11-30,57,112.98591138035,,,state,safegraph
35,oh,restaurants_visit_prop,2020-10-04,2020-11-30,57,371.35304875303,,,state,safegraph
36,ok,restaurants_visit_prop,2020-10-04,2020-11-30,57,656.81764815999,,,state,safegraph
37,or,restaurants_visit_prop,2020-10-04,2020-11-30,57,131.49117353247,,,state,safegraph
38,pa,restaurants_visit_prop,2020-10-04,2020-11-30,57,220.26166825859,,,state,safegraph
39,pr,restaurants_visit_prop,2020-10-04,2020-11-30,57,23.95023071269,,,state,safegraph
40,ri,restaurants_visit_prop,2020-10-04,2020-11-30,57,132.48071081303,,,state,safegraph
41,sc,restaurants_visit_prop,2020-10-04,2020-11-30,57,581.09959888877,,,state,safegraph
42,sd,restaurants_visit_prop,2020-10-04,2020-11-30,57,425.60842640412,,,state,safegraph
43,tn,restaurants_visit_prop,2020-10-04,2020-11-30,57,635.22387277759,,,state,safegraph
44,tx,restaurants_visit_prop,2020-10-04,2020-11-30,57,464.14937622525,,,state,safegraph
45,ut,restaurants_visit_prop,2020-10-04,2020-11-30,57,143.99763244122,,,state,safegraph
46,va,restaurants_visit_prop,2020-10-04,2020-11-30,57,301.59290020865,,,state,safegraph
47,vt,restaurants_visit_prop,2020-10-04,2020-11-30,57,158.24025432488,,,state,safegraph
48,wa,restaurants_visit_prop,2020-10-04,2020-11-30,57,98.137070047738,,,state,safegraph
49,wi,restaurants_visit_prop,2020-10-04,2020-11-30,57,282.40498200844,,,state,safegraph
50,wv,restaurants_visit_prop,2020-10-04,2020-11-30,57,459.91038113991,,,state,safegraph
51,wy,restaurants_visit_prop,2020-10-04,2020-11-30,57,224.10202711072,,,state,safegraph
0,ak,restaurants_visit_prop,2020-10-05,2020-11-30,56,75.32270814106,,,state,safegraph
1,al,restaurants_visit_prop,2020-10-05,2020-11-30,56,728.14212202627,,,state,safegraph
2,ar,restaurants_visit_prop,2020-10-05,2020-11-30,56,452.6546973382,,,state,safegraph
3,az,restaurants_visit_prop,2020-10-05,2020-11-30,56,215.55961948224,,,state,safegraph
4,ca,restaurants_visit_prop,2020-10-05,2020-11-30,56,98.729974318729,,,state,safegraph
5,co,restaurants_visit_prop,2020-10-05,2020-11-30,56,190.68043449399,,,state,safegraph
6,ct,restaurants_visit_prop,2020-10-05,2020-11-30,56,71.795452709924,,,state,safegraph
