,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
1,al,smoothed_wearing_mask,2020-09-09,2020-12-09,91,15.273399600000005,1.1352865,1004.0251,state,fb-survey
2,ar,smoothed_wearing_mask,2020-09-09,2020-12-09,91,16.100304800000004,1.4796351,617.0001,state,fb-survey
3,az,smoothed_wearing_mask,2020-09-09,2020-12-09,91,13.324158299999993,0.8897701,1458.7545,state,fb-survey
4,ca,smoothed_wearing_mask,2020-09-09,2020-12-09,91,8.690950900000004,0.3640398,5988.0213,state,fb-survey
5,co,smoothed_wearing_mask,2020-09-09,2020-12-09,91,14.75273,0.9303546,1452.9675,state,fb-survey
6,ct,smoothed_wearing_mask,2020-09-09,2020-12-09,91,8.751279400000001,0.9045327,976.0,state,fb-survey
7,dc,smoothed_wearing_mask,2020-09-09,2020-12-09,91,3.1468531000000013,1.4650449,142.0,state,fb-survey
8,de,smoothed_wearing_mask,2020-09-09,2020-12-09,91,7.1884984,1.4623209,312.0,state,fb-survey
9,fl,smoothed_wearing_mask,2020-09-09,2020-12-09,91,12.775277399999993,0.513743,4221.9995,state,fb-survey
10,ga,smoothed_wearing_mask,2020-09-09,2020-12-09,91,17.3274557,0.9278429,1663.9767,state,fb-survey
11,hi,smoothed_wearing_mask,2020-09-09,2020-12-09,91,6.901840500000006,1.4060842,325.0,state,fb-survey
12,ia,smoothed_wearing_mask,2020-09-09,2020-12-09,91,25.268882700000006,1.3464826,1041.5641,state,fb-survey
13,id,smoothed_wearing_mask,2020-09-09,2020-12-09,91,29.6248456,2.0277999,507.0202,state,fb-survey
14,il,smoothed_wearing_mask,2020-09-09,2020-12-09,91,12.567818700000004,0.6305167,2764.0001,state,fb-survey
15,in,smoothed_wearing_mask,2020-09-09,2020-12-09,91,15.723472200000003,0.9234245,1554.0045,state,fb-survey
16,ks,smoothed_wearing_mask,2020-09-09,2020-12-09,91,19.637146,1.4603865,739.9427,state,fb-survey
17,ky,smoothed_wearing_mask,2020-09-09,2020-12-09,91,14.2445989,1.1829104,872.9874,state,fb-survey
18,la,smoothed_wearing_mask,2020-09-09,2020-12-09,91,16.447386899999998,1.1799674,986.9995,state,fb-survey
19,ma,smoothed_wearing_mask,2020-09-09,2020-12-09,91,6.958153699999997,0.7019203,1314.004,state,fb-survey
