,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
45,ut,full_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.057677757134752,0.00036859950406036,11810,state,safegraph
46,va,full_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.049897876172502,0.00020009265199266,37109,state,safegraph
47,vt,full_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.059010492400784,0.000751112209497,3648,state,safegraph
48,wa,full_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.04764395179412,0.00020343262415494,33375,state,safegraph
49,wi,full_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.057119222211252,0.00025377974818187,31322,state,safegraph
50,wv,full_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.057903967121875,0.00042304944510269,11122,state,safegraph
51,wy,full_time_work_prop_7dav,2020-10-01,2020-11-30,60,0.058249555851855,0.00080870061527226,2870,state,safegraph
0,ak,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.053461727599301,0.00062321509305747,3616,state,safegraph
1,al,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.060593321692467,0.00025909171111113,24037,state,safegraph
2,ar,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.057239454412171,0.00032323057190932,14979,state,safegraph
3,az,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.044780017770165,0.00018067101401779,29100,state,safegraph
4,ca,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.051978359236274,9.6812762109076e-05,161820,state,safegraph
5,co,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.054199122068532,0.00023790686655095,24636,state,safegraph
6,ct,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.052156311441255,0.00028653277629038,18049,state,safegraph
7,dc,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.047021618175105,0.00060219715654493,3128,state,safegraph
8,de,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.046267847757887,0.0005293162676642,3990,state,safegraph
9,fl,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.04827231050362,0.00012089447139653,79564,state,safegraph
10,ga,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.050920148250531,0.00019530233508183,38633,state,safegraph
11,hi,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.030700767666796,0.00035730435101151,5867,state,safegraph
12,ia,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.067761206379207,0.00038384037309942,18388,state,safegraph
13,id,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.052834665675934,0.00046841588137227,6718,state,safegraph
14,il,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.046727365815087,0.00013488144613783,67719,state,safegraph
15,in,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.054106291777926,0.00022089478167974,33654,state,safegraph
16,ks,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.058907033792805,0.00034899547169025,16407,state,safegraph
17,ky,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.052497158140092,0.00026493351004913,22943,state,safegraph
18,la,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.060861624281539,0.00028276571320701,24110,state,safegraph
19,ma,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.052768833650243,0.00021672919233444,34683,state,safegraph
20,md,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.0457494622671,0.00021132195271381,27347,state,safegraph
21,me,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.05501744826331,0.00048265594943124,7532,state,safegraph
22,mi,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.053502660572868,0.00016860522722258,56728,state,safegraph
23,mn,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.05228208591939,0.000236587704534,28732,state,safegraph
24,mo,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.061497644245741,0.00025728388067993,31508,state,safegraph
25,ms,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.061679091481246,0.00036092227684559,15092,state,safegraph
26,mt,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.063466193846152,0.00061893173543373,5872,state,safegraph
27,nc,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.04779351424705,0.00016702823464826,42844,state,safegraph
28,nd,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.061808760351452,0.00074130161594494,4004,state,safegraph
29,ne,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.06909826381153,0.00048804299614189,11417,state,safegraph
30,nh,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.055746950586856,0.00050402999686471,6447,state,safegraph
31,nj,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.048788873257895,0.00017344116720198,44041,state,safegraph
32,nm,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.050349208979996,0.00037663487623452,10094,state,safegraph
33,nv,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.046914336158406,0.0003064852575995,12744,state,safegraph
34,ny,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.053932420233426,0.00012511211757868,106230,state,safegraph
35,oh,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.055806602200866,0.00016293351527821,64494,state,safegraph
36,ok,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.05437669036192,0.00026735902309954,20719,state,safegraph
37,or,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.044774813229244,0.00023374342101205,18380,state,safegraph
38,pa,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.052103151224165,0.00014697846525638,68050,state,safegraph
39,pr,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.070891075672953,0.00037796155954948,17004,state,safegraph
40,ri,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.052178934761914,0.00050448818181888,5678,state,safegraph
41,sc,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.053547289782643,0.00025363716540135,21342,state,safegraph
42,sd,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.065311842715651,0.00073318337185435,4575,state,safegraph
43,tn,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.053927344319085,0.00022263388588835,28799,state,safegraph
44,tx,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.050617457202183,0.00010880269613133,110348,state,safegraph
45,ut,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.057105714481521,0.00036469143006343,11811,state,safegraph
46,va,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.049048550308327,0.00019577996460732,37111,state,safegraph
47,vt,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.059360125384754,0.00074312954817895,3648,state,safegraph
48,wa,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.046822699076456,0.00019718122046151,33378,state,safegraph
49,wi,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.057287667645335,0.00025151086631127,31323,state,safegraph
50,wv,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.057362493611186,0.00041369244651182,11123,state,safegraph
51,wy,full_time_work_prop_7dav,2020-10-02,2020-11-30,59,0.058605943008067,0.00080442315209526,2870,state,safegraph
0,ak,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.055012379574963,0.00065411043158824,3620,state,safegraph
1,al,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.061756169678957,0.0002581616954438,24036,state,safegraph
2,ar,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.055619935824343,0.00031620407203353,14981,state,safegraph
3,az,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.044119757598849,0.00017570958754086,29104,state,safegraph
4,ca,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.050330027295841,9.2318863691237e-05,161821,state,safegraph
5,co,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.054122362700079,0.00024172919112169,24633,state,safegraph
6,ct,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.052184442362065,0.0002919504976659,18050,state,safegraph
7,dc,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.047718245777863,0.00063485582979016,3130,state,safegraph
8,de,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.046400513001325,0.00054644144337566,3988,state,safegraph
9,fl,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.048255702309214,0.00012286669718783,79568,state,safegraph
10,ga,full_time_work_prop_7dav,2020-10-03,2020-11-30,58,0.051408860072236,0.00019672651363052,38634,state,safegraph
